Restaurant_ID,Restaurant_Name,Cuisines,Price_for_One,Delivery_Time,Location,Rating,Delivery_review_number,,,
100241,"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food",125,26,Ashok Nagar,4.1,1000,,,
100242,Uttara Karnataka Foods,South Indian,100,36,Malleshwaram,4.4,100,,,
100243,Hotel Revoli Inn,"Indian, Chinese, Tandoor, South Indian",200,24,Shanti Nagar,4,1000,,,
100244,All Saints Bakery,"Bakery, Snacks, Desserts",100,24,Ashok Nagar,4.4,5000,,,
100245,"Art of Delight - Ice Creams, Sundaes and Desserts","Ice Cream, Desserts, Beverages",125,24,Ashok Nagar,4.5,10000,,,
100246,Gurukrupa Paratha House,"North Indian, Punjabi",125,36,Indiranagar,4,1000,,,
100247,Sai cafe veg,South Indian,125,31,Malleshwaram,4.2,1000,,,
100248,Sri Udupi Vaibhav,"South Indian, North Indian, Chinese",100,51,Indiranagar,4.3,1000,,,
100249,Mangalore Sea Palate,"Seafood, South Indian, Mangalorean",150,35,Jayanagar,4.2,100,,,
100250,Kunafa World,Middle Eastern,250,35,Frazer Town,4.5,1000,,,
100251,Aubree,"Desserts, Bakery",350,26,Shivajinagar,4.4,1000,,,
100252,BOX8 - Desi Meals,"North Indian, Biryani, Thalis, Home Food",125,22,Shanti Nagar,4.3,100,,,
100253,Elixir - Luxury Pearls Drink,"Beverages, Desserts, Ice Cream, Juices, Korean, Healthy Food",200,39,Koramangala,4.3,500,,,
100254,Shezan,"Mughlai, North Indian, Chinese, Continental",300,27,Vasanth Nagar,4.3,5000,,,
